id_instalacion;tipo_instalacion;capacidad_instalacion;nombre_puerto;rut_jefe
103;muelle;3;Quintero;73026642-1
173;muelle;2;Puerto Montt;69822376-6
18;astillero;1;Lirquen;12920124-k
34;astillero;1;Ancud;14200344-9
91;astillero;2;La Serena;13863556-2
174;astillero;3;Chacabuco;11904025-6
88;astillero;3;Castro;54480341-7
46;muelle;2;Talcahuano;77191435-7
153;muelle;1;Port Williams;23047484-2
192;muelle;1;Mejillones;50728559-7
191;astillero;2;Chacabuco;32359787-1
28;muelle;1;Quintero;94362008-3
82;astillero;1;Caleta Coloso;98357275-8
13;astillero;2;Caldera;10339840-1
144;muelle;1;Punta Patache;52189199-8
183;astillero;1;Castro;26849996-2
105;astillero;2;Calderilla;67753422-2
207;muelle;1;Huasco;34039148-9
21;muelle;3;La Serena;35340502-0
56;astillero;2;Puerto Angamos;63968995-6
125;muelle;1;Isla Guarello;87371798-k
160;muelle;1;Barquito;96735305-1
184;astillero;1;Calderilla;52158784-9
77;muelle;3;Puerto Natales;79974368-k
10;astillero;1;Cruz Grande;11118739-8
116;astillero;3;Coquimbo;95199785-4
134;astillero;3;Mejillones;49628420-8
210;muelle;3;Caleta Coloso;22249624-1
185;muelle;2;Calderilla;79725852-0
27;muelle;3;Mejillones;84327091-3
213;astillero;1;Antofagasta;13370165-6
140;astillero;1;Arica;88732812-9
164;astillero;2;Quintero;75397524-1
60;astillero;3;Quintero;54121962-5
115;muelle;1;Penco;89477804-0
129;muelle;1;Isla Guarello;40161573-3
203;astillero;1;Barquito;75129314-3
171;muelle;3;Chacabuco;94559048-3
65;muelle;1;Caleta Coloso;14585428-8
101;astillero;1;La Serena;35414863-3
48;astillero;1;Caldera;37285914-8
133;astillero;3;Caleta Coloso;48996426-0
31;astillero;3;Quintero;90471139-k
148;muelle;3;Punta Arenas;97163657-2
25;astillero;1;Arica;50814284-6
102;muelle;1;Ancud;88107942-9
47;astillero;3;Quintero;90730270-9
201;astillero;1;Talcahuano;52258791-5
200;muelle;1;Quemchi;78413522-5
135;astillero;1;Punta Arenas;48269008-4
100;astillero;2;Talcahuano;34996262-4
1;muelle;1;Arica;92060023-9
59;muelle;3;Barquito;75910499-4
146;astillero;2;Guayacan;75020925-4
84;muelle;2;Quellon;35155157-7
78;muelle;1;Calderilla;45026733-3
72;astillero;3;Guayacan;72018152-5
193;muelle;1;Iquique;93591226-1
79;astillero;2;Arica;92244003-4
139;astillero;1;Mejillones;40597717-6
